product,rows,days,mean_mid,std_mid,min_mid,max_mid,mean_spread,median_spread,mean_top_depth,empty_book_rows,strike,trades,total_qty,total_notional,mean_trade_price,mean_trade_qty,unique_buyers,unique_sellers
HYDROGEL_PACK,30000,3,9994.6543,34.62327108377088,9891.0,10081.0,15.727933333333333,16.0,24.825833333333332,0,,1022,4096,40939210.0,9994.32191780822,4.007827788649706,3,3
VELVETFRUIT_EXTRACT,30000,3,5247.648716666667,18.07710848231765,5191.5,5300.0,4.982433333333334,5.0,75.54076666666667,0,,1381,8203,43048378.0,5247.7639391745115,5.939898624185373,6,5
VEV_4000,30000,3,1247.65655,18.101252413633826,1189.0,1302.0,20.7535,21.0,21.829633333333334,0,4000.0,442,876,1092457.0,1246.7262443438915,1.9819004524886878,3,3
VEV_4500,30000,3,747.65675,18.09235701109451,690.5,800.5,15.793833333333334,16.0,17.897666666666666,0,4500.0,3,6,4389.0,732.6666666666666,2.0,2,2
VEV_5000,30000,3,251.14458333333334,17.45552569166258,196.5,301.5,5.9642333333333335,6.0,31.2077,0,5000.0,3,6,1409.0,236.33333333333334,2.0,2,2
VEV_5100,30000,3,160.8633,16.127374745564445,111.5,205.5,4.1744,4.0,39.121233333333336,0,5100.0,3,6,871.0,147.33333333333334,2.0,2,2
VEV_5200,30000,3,88.99348333333333,13.34696359654988,51.0,122.5,2.757833333333333,3.0,45.61793333333333,0,5200.0,47,162,12200.0,75.51063829787235,3.4468085106382977,4,2
VEV_5300,30000,3,41.1763,9.143022192095954,18.0,61.0,1.9730666666666667,2.0,41.0477,0,5300.0,164,548,20310.0,36.56707317073171,3.341463414634146,4,2
VEV_5400,30000,3,12.629783333333334,4.149325870937131,3.5,23.0,1.3040333333333334,1.0,43.78243333333333,0,5400.0,276,959,10869.0,11.231884057971014,3.4746376811594204,2,1
VEV_5500,30000,3,4.707783333333333,2.2052542993057225,0.5,10.0,1.1086158715194774,1.0,44.56053333333333,299,5500.0,306,1069,4202.0,3.892156862745098,3.4934640522875817,2,1
VEV_6000,30000,3,0.5,0.0,0.5,0.5,,,44.9743,30000,6000.0,317,1105,0.0,0.0,3.4858044164037856,1,1
VEV_6500,30000,3,0.5,0.0,0.5,0.5,,,30.9945,30000,6500.0,317,1105,0.0,0.0,3.4858044164037856,1,1
