asset,signal,evidence,implementation_hint,risk
HYDROGEL_PACK,mean reversion + top-book imbalance,"lag1 autocorr=-0.124, imbalance corr=0.299",skew fair value with imbalance; take stretched quotes around rolling/anchored fair,inventory at empty-book or regime-change timestamps
VELVETFRUIT_EXTRACT,mean reversion + top-book imbalance,"lag1 autocorr=-0.160, imbalance corr=0.281",skew fair value with imbalance; take stretched quotes around rolling/anchored fair,inventory at empty-book or regime-change timestamps
VEV_4000,follow Mark 14 as buyer,"1000-step edge/unit=10.53, trades=232",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VEV_4000,fade Mark 38 as seller,"1000-step edge/unit=-10.49, trades=233",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VEV_4000,follow Mark 14 as seller,"1000-step edge/unit=10.14, trades=207",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VEV_4000,fade Mark 38 as buyer,"1000-step edge/unit=-10.09, trades=209",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
HYDROGEL_PACK,follow Mark 14 as buyer,"1000-step edge/unit=8.14, trades=496",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
HYDROGEL_PACK,fade Mark 38 as seller,"1000-step edge/unit=-7.97, trades=507",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
HYDROGEL_PACK,follow Mark 14 as seller,"1000-step edge/unit=7.91, trades=507",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
HYDROGEL_PACK,fade Mark 38 as buyer,"1000-step edge/unit=-7.79, trades=515",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VELVETFRUIT_EXTRACT,follow Mark 01 as seller,"1000-step edge/unit=2.99, trades=244",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VELVETFRUIT_EXTRACT,follow Mark 01 as buyer,"1000-step edge/unit=2.84, trades=260",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VELVETFRUIT_EXTRACT,fade Mark 55 as buyer,"1000-step edge/unit=-2.46, trades=598",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VELVETFRUIT_EXTRACT,fade Mark 55 as seller,"1000-step edge/unit=-2.38, trades=600",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VEV_5200,follow Mark 01 as buyer,"1000-step edge/unit=2.25, trades=11",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VELVETFRUIT_EXTRACT,follow Mark 14 as seller,"1000-step edge/unit=2.23, trades=331",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
VELVETFRUIT_EXTRACT,follow Mark 14 as buyer,"1000-step edge/unit=2.10, trades=316",adjust fair value for a few ticks after this participant-side appears in market_trades,sample size and same-participant behavior may shift in final
